english,class,swedish,arabic,somali,persian,ukrainian,polish,spanish,bosnian,albanian
attention,(noun),uppmärksamhet,انتباه,digtooni,توجه,увага,uwaga,atención,pažnja,vëmendje
decision,(noun),beslut,قرار,go'aan,تصمیم,рішення,decyzja,decisión,odluka,vendim
event,(noun),händelse,حدث,dhacdo,رویداد,подія,wydarzenie,evento,događaj,ngjarje
property,(noun),fast egendom,ملكية,hanti,ویژگی,майно,nieruchomość,propiedad,nekretnina,pronë
shopping,(noun),handla,التسوق,wax adeegista,خريد كردن,покупки,zakupy,compras,kupovina,pazar
student,(noun),studerande,طالب,ardayad,دانشجو,студент,student,alumno,student,student
wood,(noun),trä,خشب,duur,چوب,деревина,drewno,madera,drvo,dru
competition,(noun),konkurrens,مسابقة,tartan,رقابت,змагання,konkurs,competencia,takmičenje,konkurs
distribution,(noun),distribution,توزيع,qaybinta,توزیع,розподіл,dystrybucja,distribución,distribucija,shpërndarje
entertainment,(noun),underhållning,ترفيه,madadaalo,سرگرمی,розвага,rozrywka,entretenimiento,zabava,argëtim
office,(noun),kontor,مكتب,xafiis,دفتر,офіс,biuro,oficina,ured,zyrë
population,(noun),befolkning,سكان,dad weyne,جمعیت,населення,populacja,población,stanovništvo,popullatë
president,(noun),president,رئيس,madaxweyne,رئيس جمهور,президент,prezydent,presidente,predsjednik,president
unit,(noun),enhet,وحدة,cutub,واحد,одиниця,jednostka,unidad,jedinica,njësi
category,(noun),kategori,فئة,dabaqad,دسته بندی,категорія,Kategoria,categoría,kategorija,kategori
cigarette,(noun),cigarett,سيجارة,sigaar,سیگار,сигарета,papieros,cigarrillo,cigareta,cigare
context,(noun),sammanhang,سياق,macno,متن نوشته,контекст,kontekst,contexto,kontekst,kontekst
introduction,(noun),introduktion,مقدمة,gogoldhig,معرفی,вступ,wstęp,introducción,uvođenje,Prezantimi
opportunity,(noun),möjlighet,فرصة,fursad,فرصت,можливість,możliwość,oportunidad,prilika,mundësi
performance,(noun),prestanda,أداء,fulin hawleed,کارایی,виконання,wydajność,actuación,performans,performancë
driver,(noun),förare,سائق,dareewalad,راننده,водій,kierowca,conductor,vozač,shofer
flight,(noun),flyg,رحلة جوية,duulitaan,پرواز,виліт,lot,vuelo,let,fluturim
length,(noun),längd,طول,dherer,طول,довжина,długość,longitud,dužina,gjatësi
magazine,(noun),tidskrift,مجلة,wargeys,مجله,журнал,czasopismo,revista,časopis,revistë
newspaper,(noun),tidning,جريدة,wargeys,روزنامه,газета,Gazeta,periódico,novine,Gazete
relationship,(noun),relation,علاقة,xiriir qaraabo,ارتباط,відносини,relacja,relación,veza,marrëdhënie
teaching,(noun),undervisning,تعليم,Waxbarista,درس دادن,викладання,nauczanie,enseñando,podučavanje,mësim
cell,(noun),cell,خلية,unug,سلول,клітина,komórka,celúla,ćelija,qeli
dealer,(noun),-handlare,تاجر,ganacsade,فروشنده - دلال,дилер,kupiec,distribuidor,diler,tregtar
finding,(noun),fynd,العثور على,waxuugi kara,یافته,пошук,odkrycie,hallazgo,pronalaženje,gjetje
lake,(noun),sjö,بحيرة,haro,دریاچه,озеро,jezioro,lago,jezero,liqen
member,(noun),medlem,عضو,xubin,عضو,член,członek,miembro,član,anëtar
message,(noun),meddelande,رسالة,farriin,پیام,повідомлення,wiadomość,mensaje,poruka,mesazh
phone,(noun),telefon,هاتف,talee gilid,تلفن,телефон,telefon,teléfono,telefon,telefon
scene,(noun),scen,مشهد,xaalad,صحنه,сцена,scena,escena,scena,skenë
appearance,(noun),utseende,مظهر,muuqashada,ظاهر,зовнішність,wygląd,apariencia,izgled,pamje
association,(noun),förening,منظمة,urur,اتحادیه,асоціація,stowarzyszenie,asociación,udruženje,shoqëri
concept,(noun),begrepp,مفهوم,fikradda,مفهوم,концепція,pojęcie,concepto,koncept,koncept
customer,(noun),kund,عميل,macmiilad,مشتری,замовник,klient,cliente,kupac,klient
death,(noun),död,موت,dhimashada,مرگ,смерть,śmierć,muerte,smrt,vdekje
discussion,(noun),diskussion,مناقشة,munaaqasho,بحث,обговорення,dyskusja,discusión,diskusija,diskutim
housing,(noun),hus,السكن,Guriyeynta,محفظه,корпус,mieszkania,alojamiento,stanovanje,strehim
inflation,(noun),inflation,تضخم اقتصادي,sicir barar,تورم,інфляція,inflacja,inflación,inflacija,fryrje
insurance,(noun),försäkring,تأمين,caymis,بیمه,страхування,ubezpieczenie,seguro,osiguranje,sigurim
mood,(noun),humör,مزاج,niyad qofka siday-tahay,حالت,настрій,nastrój,ánimo,raspoloženje,Humor
woman,(noun),kvinna,امرأة,naag,زن,жінка,kobieta,mujer,žena,grua
advice,(noun),råd,نصيحة,talo,مشورت,порада,rada,consejo,savjet,këshillë
blood,(noun),blod,دم,dhiig,خون,кров,krew,sangre,krv,gjak
effort,(noun),ansträngning,جهد,dadaal,تلاش,зусилля,wysiłek,esfuerzo,trud,përpjekje
expression,(noun),uttryck,تعبير,muuqa,اصطلاح,вираз,wyrażenie,expresión,izraz,shprehje
importance,(noun),betydelse,أهمية,muhiim,اهمیت,важливість,znaczenie,importancia,važnost,rëndësi
opinion,(noun),åsikt,رأي,fikrad,نظر,думка,opinia,opinión,mišljenje,mendim
payment,(noun),betalning,قسط,lacag dhiibid,پرداخت,оплата,Zapłata,pago,plaćanje,pagesë
reality,(noun),verklighet,الواقع,xaalad xaqiiq ah,واقعیت,реальність,rzeczywistość,realidad,stvarnost,realitet
responsibility,(noun),ansvar,مسؤولية,mas'uuliyad,مسئوليت,відповідальність,odpowiedzialność,responsabilidad,odgovornost,përgjegjësi
situation,(noun),situation,الموقف,xaalad,وضعیت,ситуація,sytuacja,situación,situacija,situatë
skill,(noun),skicklighet,مهارة,maqaar,مهارت,навичка,umiejętność,habilidad,vještina,aftësi
statement,(noun),påstående,إفادة,bayaan,بیانیه,заява,oświadczenie,declaración,izjava,deklaratë
wealth,(noun),rikedom,ثروة,hanti,ثروت,багатство,bogactwo,poder,bogatstvo,pasuri
application,(noun),Ansökan,طلب,isticmaal,کاربرد,застосування,aplikacja,solicitud,primjena,aplikacion
city,(noun),stad,مدينة,magaalo,شهر,місто,miasto,ciudad,grad,qytet
county,(noun),grevskap,مقاطعة,istilo,شهرستان,графство,hrabstwo,condado,županija,qark
depth,(noun),djup,عمق,qoto-dheer,عمق,глибина,głębokość,profundidad,dubina,thellesi
estate,(noun),egendom,ملكية,miro hanti,دارایی,садиба,nieruchomość,bienes,nekretnine,pronë
foundation,(noun),fundament,مؤسسة,aasaas,پایه,фундамент,Fundacja,base,temelj,themel
grandmother,(noun),mormor,جدة,ayeeyo,مادر بزرگ,бабуся,babcia,abuela,baka,gjyshe
heart,(noun),hjärta,قلب,wadne,قلب,серце,serce,corazón,srce,zemër
perspective,(noun),perspektiv,وجهة نظر,muuqaal,چشم انداز,перспектива,perspektywiczny,perspectiva,perspektiva,Prespektive
photo,(noun),Foto,صورة,sawir,عکس,фото,zdjęcie,foto,fotografija,Foto
recipe,(noun),recept,وصفة,hab loo sameynta,دستور آشپزی,рецепт,przepis,receta,recept,recetë
studio,(noun),studio,الاستوديو,degid,استحکامات,студія,studio,estudio,studio,studio
topic,(noun),ämne,عنوان,mawduuc,موضوع,тема,temat,tema,tema,temë
collection,(noun),samling,مجموعة,ururis,مجموعه,колекція,kolekcja,recopilación,zbirka,grumbullim
depression,(noun),depression,اكتئاب,niyad jab,افسردگی,депресія,depresja,depresión,depresija,depresion
imagination,(noun),fantasi,خيال,khayaal abuur,خیال پردازی,уява,wyobraźnia,imaginación,mašta,imagjinatë
passion,(noun),passion,عاطفة,dareen xoog ah,شور,пристрасть,pasja,pasión,strast,pasion
percentage,(noun),procentsats,نسبة مئوية,boqolleey,درصد,відсоток,odsetek,porcentaje,procenat,përqindje
resource,(noun),resurs,الموارد,khayraad,منبع,ресурс,ratunek,recurso,resurs,burim
setting,(noun),miljö,جلسة,goob,تنظیمات,встановлення,ustawienie,configuración,podešavanje,vendosje
ad,(noun),annons,إعلان,dayaan,آگهی,оголошення,ogłoszenie,anuncio,oglas,reklamë
agency,(noun),byrå,وكالة,wakaalad,آژانس,агентство,agencja,agencia,agencija,agjenci
college,(noun),högskola,كلية,kulliyad,دانشکده,коледж,Szkoła Wyższa,colega,fakultet,kolegj
connection,(noun),förbindelse,اتصال,xiriir,ارتباط,з'єднання,połączenie,conexión,veza,lidhje
criticism,(noun),kritik,نقد,cambaaraynta,انتقاد,критика,krytyka,crítica,kritika,kritikë
debt,(noun),skuld,دَين,deyn,بدهی,борг,dług,deuda,dug,borxh
description,(noun),beskrivning,وصف,sifo,شرح,опис,opis,descripción,opis,përshkrim
memory,(noun),minne,ذاكرة,xusuus,خاطره,пам'ять,pamięć,memoria,memorija,kujtesë
patience,(noun),tålamod,الصبر,Dulqaad,صبر,терпіння,cierpliwość,paciencia,strpljenje,durim
secretary,(noun),sekreterare,سكرتير,xoghaynto,دبیر، منشی,секретар,sekretarz,secretario,sekretar,sekretar
solution,(noun),lösning,حل,go'aan,راه حل,розчин,rozwiązanie,solución,rešenje,zgjidhje
administration,(noun),administrering,إدارة,maamul,مدیریت,адміністрація,administracja,administración,uprava,administrim
aspect,(noun),aspekt,وجه,muuqaal,جنبه,аспект,aspekt,aspecto,aspekt,aspekt
attitude,(noun),attityd,سلوك,siyaabo qof u dhaqmo,نگرش,ставлення,postawa,actitud,stav,qëndrim
director,(noun),direktör,مخرج,agaasime,کارگردان,директор,dyrektor,director,direktor,drejtor
personality,(noun),personlighet,شخصية,dabeecad,شخصیت,особистість,osobowość,personalidad,ličnost,personalitet
psychology,(noun),psykologi,علم النفس,cilmu-nafsi,روانشناسی,психологія,psychologia,psicología,psihologija,psikologji
recommendation,(noun),rekommendation,توصية,talo,توصیه,рекомендація,rekomendacje,recomendación,preporuka,rekomandim
response,(noun),svar,إجابة,jawaab,واکنش,реакція,odpowiedź,respuesta,odgovor,përgjigje
selection,(noun),urval,اختيار,doorashada,انتخاب,відбір,wybór,selección,izbor,përzgjedhje
storage,(noun),lagring,تخزين,bakhaar,ذخیره سازی,зберігання,składowanie,almacenamiento,skladište,ruajtje
version,(noun),version,إصدار,werin,نسخه,версія,wersja,versión,verzija,version
alcohol,(noun),alkohol,الكحول,aalkolo,الکل,алкоголь,alkohol,alcohol,alkohol,alkool
argument,(noun),argument,دعوى,muran,بحث و جدل,аргумент,argument,argumento,argument,argument
complaint,(noun),klagomål,شكوى,ashtako,شکایت,скарга,skarga,queja,žalba,ankesë
contract,(noun),avtal,عقد,heshiis,قرارداد,договір,kontrakt,contrato,ugovor,kontratë
emphasis,(noun),betoning,توكيد,xoog saaris,تاکید,наголос,podkreślenie,énfasis,naglasak,theksim
highway,(noun),motorväg,الطريق السريع,waddo weyn,بزرگراه,шосе,Autostrada,carretera,autoput,autostradë
loss,(noun),förlust,خسارة,khasaaro,ضرر - زیان,втрата,strata,pérdida,gubitak,humbje
membership,(noun),medlemskap,عضوية,xubinimo,عضویت,членство,członkostwo,afiliación,članstvo,anëtarësim
possession,(noun),besittning,تملُّك,lahaansho,مالکیت,володіння,posiadanie,posesión,posjed,zotërim
preparation,(noun),förberedelse,تحضير,diyaar garoow,آماده سازی,підготовка,przygotowanie,preparación,priprema,përgatitje
steak,(noun),biff,شريحة لحم,-verton,استیک,стейк,stek,bife,odrezak,biftek
union,(noun),union,اتحاد,urur,اتحاد. اتصال,союз,unia,Unión,sindikat,bashkim
agreement,(noun),avtal,اتفاق,heshiis,توافق,Угода,porozumienie,acuerdo,sporazum,marrëveshje
cancer,(noun),cancer,سرطان,cudur dilaa ah,سرطان,рак,rak,cáncer,rak,kancer
currency,(noun),valuta,عملة,lacag,واحد پول,валюта,waluta,divisa,valuta,monedhë
employment,(noun),sysselsättning,توظيف,shaqo,استخدام,працевлаштування,zatrudnienie,empleo,zapošljavanje,punësim
engineering,(noun),teknik,هندسة,injineerin,مهندسی,інженерний,Inżynieria,ingeniería,inženjering,inxhinieri
entry,(noun),inträde,دخول,gelitaan,ورود,вхід,wejście,entrada,ulazak,hyrje
interaction,(noun),samspel,تفاعل,is dhexgelidda,اثر متقابل,взаємодія,interakcja,interacción,interakcija,bashkëveprim
mixture,(noun),blandning,خليط,isku jir,مخلوط,суміш,mieszanina,mezcla,mješavina,përzierje
preference,(noun),preferens,التفضيل,doorashada,ترجیح,перевага,pierwszeństwo,preferencia,preferencija,preferencë
region,(noun),område,منطقة,gobol,منطقه,область,region,región,regija,Rajon
republic,(noun),republik,جمهورية,jamhuuriyad,جمهوری,республіка,republika,república,Republika,republikë
tradition,(noun),tradition,التقليد,dhaqan,سنت,традиція,tradycja,tradición,tradicija,traditë
virus,(noun),virus,فايروس,fayruus,ویروس,вірус,wirus,virus,virus,virus
actor,(noun),skådespelare,الممثل,nin jilaaga ah,بازیگر,актор,aktor,actor,glumac,aktor
classroom,(noun),klassrum,قاعة الدراسة,fasaxid,درس,аудиторія,klasa,aula,učionica,klasë
delivery,(noun),leverans,توصيل,keenis,تحویل,доставка,dostawa,entrega,dostava,dorëzim
device,(noun),enhet,جهاز,xeelad,دستگاه,пристрій,urządzenie,dispositivo,uređaj,pajisje
difficulty,(noun),svårighet,صعوبة,dhibaato,سختی,труднощі,trudność,dificultad,poteškoća,vështirësi
drama,(noun),drama,دراما,riwaayad,نمایش,драма,dramat,drama,drama,dramë
election,(noun),val,انتخاب,doorashada,انتخابات,вибори,wybór,elección,izborni,zgjedhje
engine,(noun),motor,محرك,matoor,موتور,двигун,silnik,motor,motor,motor
football,(noun),fotboll,كرة القدم,kubada cagta,فوتبال,футбол,piłka nożna,fútbol americano,fudbal,futboll
guidance,(noun),vägledning,إرشاد,hagis,راهنمایی,керівництво,przewodnictwo,guía,vođenje,udhëzim
hotel,(noun),hotell,الفندق,huteel,هتل,готель,hotel,hotel,hotel,hotel
owner,(noun),ägare,مالك,milkiilaha,صاحب,власник,właściciel,dueño,vlasnik,pronar
priority,(noun),prioritet,أولوية,mudnaan,اولویت,пріоритет,priorytet,prioridad,prioritet,prioritet
protection,(noun),skydd,حماية,ilaalinta,حفاظت,захист,ochrona,proteccion,zaštita,mbrojtje
suggestion,(noun),förslag,اقتراح,ra'yi-bixinta,پیشنهاد,пропозиція,sugestia,sugerencia,prijedlog,sugjerim
tension,(noun),spänning,توتر,xiisad,تنش,напруга,napięcie,tensión,tenzija,tensionim
variation,(noun),variation,تفاوت,kala duwanaan,تغییر,зміна,zmiana,variación,varijacija,variacion
anxiety,(noun),ångest,قلق,arrin laga walwalo,اضطراب,тривога,Lęk,ansiedad,anksioznost,ankth
atmosphere,(noun),atmosfär,أَجواء,jawi,جو,атмосфера,atmosfera,atmósfera,atmosfera,Atmosferë
awareness,(noun),medvetenhet,وعي,fahmidda,اطلاع,обізнаність,świadomość,conciencia,svijest,vetëdije
bath,(noun),bad,حمام,qubeysasho,حمام,ванна,wanna,baño,kupatilo,banjë
bread,(noun),bröd,خبز,rooti,نان,хліб,chleb,pan,hljeb,bukë
candidate,(noun),kandidat,مُرَشَّح,jago u sharraxsanto,نامزد,кандидат,kandydat,candidato,kandidat,kandidat
climate,(noun),klimat,مناخ,jawi,اقلیم,клімат,klimat,clima,klima,klimë
comparison,(noun),jämförelse,مقارنة,is barbar dhigidda,مقایسه,порівняння,porównanie,comparación,upoređivanje,krahasim
confusion,(noun),förvirring,ارتباك,wareer,گیجی,спантеличеність,dezorientacja,confusión,zbrka,konfuzion
